,portfolio_value,returns
2019-06-18 10:00:00+00:00,97713.5469775848,0.0008296413696817773
2019-06-19 10:00:00+00:00,97650.5469775848,-0.0006447417164628932
2019-06-20 10:00:00+00:00,97868.0469775848,0.0022273300737365442
2019-06-21 10:00:00+00:00,97962.5469775848,0.0009655858364236991
2019-06-24 10:00:00+00:00,98082.5469775848,0.0012249579426253376
2019-06-25 10:00:00+00:00,98195.0469775848,0.001146993052960843
2019-06-26 10:00:00+00:00,98211.5469775848,0.00016803291518119323
2019-06-27 10:00:00+00:00,98349.5469775848,0.001405130091592044
2019-06-28 10:00:00+00:00,98373.5469775848,0.00024402756024355376
2019-07-01 10:00:00+00:00,98334.5469775848,-0.00039644804114757903
2019-07-02 10:00:00+00:00,98417.0469775848,0.0008389726961248734
2019-07-03 10:00:00+00:00,98472.5469775848,0.000563926694657102
2019-07-04 10:00:00+00:00,98522.0469775848,0.000502678172945803
2019-07-05 10:00:00+00:00,98582.0469775848,0.0006090007449159884
2019-07-08 10:00:00+00:00,98165.0469775848,-0.0042299791167332845
2019-07-09 10:00:00+00:00,98283.5469775848,0.0012071506472874916
2019-07-10 10:00:00+00:00,98130.5469775848,-0.0015567203739085267
2019-07-11 10:00:00+00:00,98379.5469775848,0.0025374361773085052
2019-07-12 10:00:00+00:00,98388.5469775848,9.14824297986172e-05
2019-07-15 10:00:00+00:00,98297.0469775848,-0.000929986292213969
2019-07-16 10:00:00+00:00,98408.0469775848,0.0011292302608572058
2019-07-17 10:00:00+00:00,98679.5469775848,0.0027589207218170486
2019-07-18 10:00:00+00:00,98418.5469775848,-0.0026449249919974216
2019-07-19 10:00:00+00:00,98207.0469775848,-0.002148985191258501
2019-07-22 10:00:00+00:00,98022.5469775848,-0.0018786839201275773
2019-07-23 10:00:00+00:00,97752.5469775848,-0.002754468316985781
2019-07-24 10:00:00+00:00,97692.5469775848,-0.0006137947486294371
2019-07-25 10:00:00+00:00,97733.0469775848,0.00041456591370558904
2019-07-26 10:00:00+00:00,97773.5469775848,0.0004143941200287493
2019-07-29 10:00:00+00:00,97788.5469775848,0.00015341572913829538
2019-07-30 10:00:00+00:00,97310.0469775848,-0.004893211063967229
2019-07-31 10:00:00+00:00,97464.5469775848,0.0015877086159004072
2019-08-01 10:00:00+00:00,96984.5469775848,-0.004924867707130298
2019-08-02 10:00:00+00:00,96728.0469775848,-0.0026447512309284438
2019-08-05 10:00:00+00:00,96033.54678226347,-0.007179925750824712
2019-08-06 10:00:00+00:00,95985.94678226348,-0.0004956601270585947
2019-08-07 10:00:00+00:00,96402.44678226348,0.004339176868721983
2019-08-08 10:00:00+00:00,96193.34678226347,-0.0021690320835143773
2019-08-09 10:00:00+00:00,96307.24678226348,0.0011840735748369635
2019-08-13 10:00:00+00:00,96608.14678226347,0.0031243754759211484
2019-08-14 10:00:00+00:00,96404.14678226347,-0.00211162315803215
2019-08-16 10:00:00+00:00,96359.94678226348,-0.00045848650162128024
2019-08-19 10:00:00+00:00,96487.44678226348,0.001323163868989008
2019-08-20 10:00:00+00:00,96582.64678226347,0.00098665684682131
2019-08-21 10:00:00+00:00,96818.94678226348,0.002446609280989387
2019-08-22 10:00:00+00:00,97118.14678226347,0.0030903042218881627
2019-08-23 10:00:00+00:00,97004.24678226348,-0.0011727983263040143
2019-08-26 10:00:00+00:00,96716.94678226348,-0.0029617260020056158
2019-08-27 10:00:00+00:00,96509.54678226347,-0.002144401854071276
2019-08-28 10:00:00+00:00,96526.54678226347,0.00017614837668178396
2019-08-29 10:00:00+00:00,96866.54678226347,0.0035223470779177646
2019-08-30 10:00:00+00:00,96931.14678226347,0.0006668969024488103
2019-09-03 10:00:00+00:00,97113.04678226347,0.0018765897860322234
2019-09-04 10:00:00+00:00,96886.94678226348,-0.002328214462336109
2019-09-05 10:00:00+00:00,96931.14678226347,0.0004562018049689698
2019-09-06 10:00:00+00:00,96931.14678226347,2.220446049250313e-16
2019-09-09 10:00:00+00:00,96781.54678226347,-0.001543363562344302
2019-09-11 10:00:00+00:00,96533.34678226347,-0.0025645384709379604
2019-09-12 10:00:00+00:00,96509.54678226347,-0.00024654692697723135
2019-09-13 10:00:00+00:00,96305.54678226347,-0.0021137805201825177
2019-09-16 10:00:00+00:00,96563.94678226348,0.002683126866869223
