,transaction_str,txn_id
27,"[{'amount': 2, 'dt': Timestamp('2016-02-10 04:16:00+0000', tz='UTC'), 'price': 164.300000011229, 'order_id': '7dad720e9723414fadb511818ae5c013', 'sid': Equity(7 [SBIN]), 'commission': None}]",27
28,"[{'amount': 4, 'dt': Timestamp('2016-02-11 04:16:00+0000', tz='UTC'), 'price': 66.55000070933937, 'order_id': '03c57edb41ae40b58ebc08e6d44b0d96', 'sid': Equity(4 [HINDALCO]), 'commission': None}]",28
29,"[{'amount': 10, 'dt': Timestamp('2016-02-12 04:16:00+0000', tz='UTC'), 'price': 61.600000209947716, 'order_id': '897c47f6e8ef4a51b23ee627d4f6022b', 'sid': Equity(4 [HINDALCO]), 'commission': None}, {'amount': 5, 'dt': Timestamp('2016-02-12 04:16:00+0000', tz='UTC'), 'price': 149.0000000181452, 'order_id': '19ef528a906342bbbc1524e210ef0239', 'sid': Equity(7 [SBIN]), 'commission': None}]",29
30,"[{'amount': -3, 'dt': Timestamp('2016-02-15 04:16:00+0000', tz='UTC'), 'price': 63.69999994874391, 'order_id': '81adc310dd284f39bfe69740c8b0d240', 'sid': Equity(4 [HINDALCO]), 'commission': None}, {'amount': -4, 'dt': Timestamp('2016-02-15 04:16:00+0000', tz='UTC'), 'price': 159.09999984273745, 'order_id': '0325119e15e84677a18c2bb3e70b3f41', 'sid': Equity(7 [SBIN]), 'commission': None}]",30
31,"[{'amount': -9, 'dt': Timestamp('2016-02-16 04:16:00+0000', tz='UTC'), 'price': 67.49998796079308, 'order_id': '5d4a488c60694e6db1552778c4f7f7c8', 'sid': Equity(4 [HINDALCO]), 'commission': None}, {'amount': -2, 'dt': Timestamp('2016-02-16 04:16:00+0000', tz='UTC'), 'price': 166.1499999769377, 'order_id': 'e2d593afb3eb419d8b2e8e9eda13369b', 'sid': Equity(7 [SBIN]), 'commission': None}]",31
32,"[{'amount': 11, 'dt': Timestamp('2016-02-17 04:16:00+0000', tz='UTC'), 'price': 62.300001095328504, 'order_id': '05892908edcf4da88eab880af91308ae', 'sid': Equity(4 [HINDALCO]), 'commission': None}, {'amount': 4, 'dt': Timestamp('2016-02-17 04:16:00+0000', tz='UTC'), 'price': 152.20000003396765, 'order_id': '48908b75d466475d9c2a1ad03d553ac7', 'sid': Equity(7 [SBIN]), 'commission': None}]",32
33,"[{'amount': -15, 'dt': Timestamp('2016-02-18 04:16:00+0000', tz='UTC'), 'price': 69.09999967354456, 'order_id': 'ca29bd47ca314cf3ae4e13c4f04129b0', 'sid': Equity(4 [HINDALCO]), 'commission': None}, {'amount': -2, 'dt': Timestamp('2016-02-18 04:16:00+0000', tz='UTC'), 'price': 162.64999995397844, 'order_id': 'c56f62b6754c4bb694a5d137ccf219e3', 'sid': Equity(7 [SBIN]), 'commission': None}]",33
34,"[{'amount': 1, 'dt': Timestamp('2016-02-19 04:16:00+0000', tz='UTC'), 'price': 68.15000001505236, 'order_id': '33c864c62135458fb1bf5dc8be1b1a31', 'sid': Equity(4 [HINDALCO]), 'commission': None}]",34
35,"[{'amount': -4, 'dt': Timestamp('2016-02-22 04:16:00+0000', tz='UTC'), 'price': 70.3499999078881, 'order_id': '291ba31677e04d5fb3c0821bccdbeb07', 'sid': Equity(4 [HINDALCO]), 'commission': None}, {'amount': -2, 'dt': Timestamp('2016-02-22 04:16:00+0000', tz='UTC'), 'price': 166.0999999603464, 'order_id': '56c6f96e0c9341188839b37bb9fa6f41', 'sid': Equity(7 [SBIN]), 'commission': None}]",35
36,"[{'amount': -3, 'dt': Timestamp('2016-02-23 04:16:00+0000', tz='UTC'), 'price': 71.14999994030448, 'order_id': '934c8b8fbe0540659b51e5fa75865133', 'sid': Equity(4 [HINDALCO]), 'commission': None}, {'amount': 2, 'dt': Timestamp('2016-02-23 04:16:00+0000', tz='UTC'), 'price': 161.60000000471044, 'order_id': '2aafeef302f8487382ea520c3391be1e', 'sid': Equity(7 [SBIN]), 'commission': None}]",36
