,period_open,period_close,longs_count,portfolio_value,ending_cash,starting_cash,ending_value,starting_value,net_leverage,gross_leverage,ending_exposure,returns,short_exposure,starting_exposure,long_exposure,positions,transactions,short_value,orders,capital_used,pnl,long_value,shorts_count,pipeline_rows,selected_cnt,pipeline_size,invested,leverage,pos_cnt,excess_return,max_leverage,max_drawdown,sortino,period_label,sharpe,alpha,beta,trading_days,algorithm_period_return,treasury_period_return,benchmark_period_return,benchmark_volatility,algo_volatility
2024-04-19 10:00:00+00:00,2024-04-19 03:46:00+00:00,2024-04-19 10:00:00+00:00,0,100000.0,100000.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],[],0.0,[],0.0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,,2024-04,,0.0,0.0,42,0.0,0.0,0.37807162655156157,0.438746516759482,0.0
2024-04-22 10:00:00+00:00,2024-04-22 03:46:00+00:00,2024-04-22 10:00:00+00:00,0,100000.0,100000.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],[],0.0,[],0.0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,,2024-04,,0.0,0.0,43,0.0,0.0,0.42880618762256373,0.4390590145021313,0.0
2024-04-23 10:00:00+00:00,2024-04-23 03:46:00+00:00,2024-04-23 10:00:00+00:00,0,100000.0,100000.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],[],0.0,[],0.0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,,2024-04,,0.0,0.0,44,0.0,0.0,0.380383220675073,0.4457311359912908,0.0
2024-04-24 10:00:00+00:00,2024-04-24 03:46:00+00:00,2024-04-24 10:00:00+00:00,0,100000.0,100000.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],[],0.0,[],0.0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,,2024-04,,0.0,0.0,45,0.0,0.0,0.38966246343627775,0.4406433147123313,0.0
2024-04-25 10:00:00+00:00,2024-04-25 03:46:00+00:00,2024-04-25 10:00:00+00:00,0,100000.0,100000.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],[],0.0,[],0.0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,,2024-04,,0.0,0.0,46,0.0,0.0,0.404266041477229,0.43576919447210677,0.0
2024-04-26 10:00:00+00:00,2024-04-26 03:46:00+00:00,2024-04-26 10:00:00+00:00,0,100000.0,100000.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],[],0.0,[],0.0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,,2024-04,,0.0,0.0,47,0.0,0.0,0.4062380175067648,0.4312581811990844,0.0
2024-04-29 10:00:00+00:00,2024-04-29 03:46:00+00:00,2024-04-29 10:00:00+00:00,0,100000.0,100000.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],[],0.0,[],0.0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,,2024-04,,0.0,0.0,48,0.0,0.0,0.41542961688887914,0.42665302583811326,0.0
2024-04-30 10:00:00+00:00,2024-04-30 03:46:00+00:00,2024-04-30 10:00:00+00:00,0,100000.0,100000.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],[],0.0,[],0.0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,,2024-04,,0.0,0.0,49,0.0,0.0,0.4315121769519825,0.4222711920281513,0.0
2024-05-02 10:00:00+00:00,2024-05-02 03:46:00+00:00,2024-05-02 10:00:00+00:00,0,100000.0,100000.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],[],0.0,[],0.0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,,2024-05,,0.0,0.0,50,0.0,0.0,0.46758838287010174,0.4197862194894202,0.0
2024-05-03 10:00:00+00:00,2024-05-03 03:46:00+00:00,2024-05-03 10:00:00+00:00,0,100000.0,100000.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],[],0.0,[],0.0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,,2024-05,,0.0,0.0,51,0.0,0.0,0.46802659976555394,0.41592278556669565,0.0
2024-05-06 10:00:00+00:00,2024-05-06 03:46:00+00:00,2024-05-06 10:00:00+00:00,0,100000.0,100000.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],[],0.0,[],0.0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,,2024-05,,0.0,0.0,52,0.0,0.0,0.522781800852332,0.41688494169929413,0.0
2024-05-07 10:00:00+00:00,2024-05-07 03:46:00+00:00,2024-05-07 10:00:00+00:00,0,100000.0,100000.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],[],0.0,[],0.0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,,2024-05,,0.0,0.0,53,0.0,0.0,0.5063705781176395,0.4149799367625112,0.0
2024-05-08 10:00:00+00:00,2024-05-08 03:46:00+00:00,2024-05-08 10:00:00+00:00,0,100000.0,100000.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],[],0.0,[],0.0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,,2024-05,,0.0,0.0,54,0.0,0.0,0.5710185256192555,0.4178762874615,0.0
2024-05-09 10:00:00+00:00,2024-05-09 03:46:00+00:00,2024-05-09 10:00:00+00:00,0,100000.0,100000.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],[],0.0,[],0.0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,,2024-05,,0.0,0.0,55,0.0,0.0,0.542523471992463,0.4179648612518342,0.0
2024-05-10 10:00:00+00:00,2024-05-10 03:46:00+00:00,2024-05-10 10:00:00+00:00,0,100000.0,100000.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],[],0.0,[],0.0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,,2024-05,,0.0,0.0,56,0.0,0.0,0.5784572574195599,0.41537700003718436,0.0
2024-05-13 10:00:00+00:00,2024-05-13 03:46:00+00:00,2024-05-13 10:00:00+00:00,0,100000.0,100000.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],[],0.0,[],0.0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,,2024-05,,0.0,0.0,57,0.0,0.0,0.7572387953417543,0.46687204328853854,0.0
